Name,Category,Subcategory,Category Shopping Group,Product ID,Product URL,Price,Rating
Lily & Dan Large Cellular Blanket,Specialbuys,Baby & Toddler,Shop by Category,718347589966800,https://www.aldi.co.uk/lily-%26-dan-large-cellular-blanket/p/718347589966800,£6.99 each,2.0 out of 5 stars. 1 review
Home Grown Muslin Baby Blanket,Specialbuys,Baby & Toddler,Shop by Category,711205460300402,https://www.aldi.co.uk/home-grown-muslin-baby-blanket/p/711205460300402,£14.99 each,5.0 out of 5 stars. 12 reviews
Mamia Reusable Nappy Boosters,Specialbuys,Baby & Toddler,Shop by Category,713292512169200,https://www.aldi.co.uk/mamia-reusable-nappy-boosters/p/713292512169200,£3.49 £1.16 each,4.5 out of 5 stars. 4 reviews
Pineapple Party Reusable Swim Pants,Specialbuys,Baby & Toddler,Shop by Category,720185611906103,https://www.aldi.co.uk/pineapple-party-reusable-swim-pants/p/720185611906103,£5.99 each,5.0 out of 5 stars. 1 review
Lemon Twist Reusable Swim Pants,Specialbuys,Baby & Toddler,Shop by Category,720185611906304,https://www.aldi.co.uk/lemon-twist-reusable-swim-pants/p/720185611906304,£5.99 each,5.0 out of 5 stars. 1 review
Safari Baby Sleep Suit 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,811675598058601,https://www.aldi.co.uk/safari-baby-sleep-suit-3-pack/p/811675598058601,£6.99 per pack,4.3 out of 5 stars. 3 reviews
Mellow Melon Reusable Swim Pants,Specialbuys,Baby & Toddler,Shop by Category,720185611905902,https://www.aldi.co.uk/mellow-melon-reusable-swim-pants/p/720185611905902,£5.99 each,5.0 out of 5 stars. 1 review
Tweety Baby Bodysuits,Specialbuys,Baby & Toddler,Shop by Category,812754598060803,https://www.aldi.co.uk/tweety-baby-bodysuits/p/812754598060803,£7.99 per pack,
Ollie the Owl Travel Sleep Aid,Specialbuys,Baby & Toddler,Shop by Category,718255595976200,https://www.aldi.co.uk/ollie-the-owl-travel-sleep-aid/p/718255595976200,£18.99 each,3.7 out of 5 stars. 3 reviews
Croc Children's Melamine Dinner Set,Specialbuys,Baby & Toddler,Shop by Category,712940495712902,https://www.aldi.co.uk/croc-children%27s-melamine-dinner-set/p/712940495712902,£5.99 each,4.7 out of 5 stars. 15 reviews
Toddler Reins Rocket Backpack,Specialbuys,Baby & Toddler,Shop by Category,812752590528000,https://www.aldi.co.uk/toddler-reins-rocket-backpack/p/812752590528000,£6.99 each,5.0 out of 5 stars. 5 reviews
Braun IRT 6520 ThermoScan 7,Specialbuys,Baby & Toddler,Shop by Category,704848502858000,https://www.aldi.co.uk/-braun-irt-6520-thermoscan-7/p/704848502858000,£49.99 each,5.0 out of 5 stars. 3 reviews
Hey Duggee Wooden Shape Sorter,Specialbuys,Baby & Toddler,Shop by Category,702678583810403,https://www.aldi.co.uk/hey-duggee-wooden-shape-sorter/p/702678583810403,£14.99 each,4.8 out of 5 stars. 13 reviews
Mamia Rocket Reusable Nappy,Specialbuys,Baby & Toddler,Shop by Category,719314615420601,https://www.aldi.co.uk/mamia-rocket-reusable-nappy/p/719314615420601,£4.99 each,4.0 out of 5 stars. 1 review
Travel Cot and Blackout Blind,Specialbuys,Baby & Toddler,Shop by Category,000000615607900,https://www.aldi.co.uk/travel-cot-and-blackout-blind/p/000000615607900,£65.98 ,5.0 out of 5 stars. 2 reviews
Nuby Shark Net Bath Toy,Specialbuys,Baby & Toddler,Shop by Category,718180598065702,https://www.aldi.co.uk/nuby-shark-net-bath-toy/p/718180598065702,£4.99 each,3.7 out of 5 stars. 3 reviews
Braun No Touch Thermometer,Specialbuys,Baby & Toddler,Shop by Category,717740559683700,https://www.aldi.co.uk/braun-no-touch-thermometer/p/717740559683700,£49.99 each,
Hey Duggee Wooden Carry Along,Specialbuys,Baby & Toddler,Shop by Category,702646599300401,https://www.aldi.co.uk/hey-duggee-wooden-carry-along/p/702646599300401,£10.99 each,4.7 out of 5 stars. 15 reviews
Super Strawberry Training Pants,Specialbuys,Baby & Toddler,Shop by Category,720686611907506,https://www.aldi.co.uk/super-strawberry-training-pants/p/720686611907506,£6.99 £4.45 per 100g,4.2 out of 5 stars. 5 reviews
Bunny Picnic Baby Sleep Suit 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,811675598058802,https://www.aldi.co.uk/bunny-picnic-baby-sleep-suit-3-pack/p/811675598058802,£6.99 per pack,4.3 out of 5 stars. 3 reviews
Nuby Duck Net Bath Toy,Specialbuys,Baby & Toddler,Shop by Category,718180587328900,https://www.aldi.co.uk/nuby-duck-net-bath-toy/p/718180587328900,£4.99 each,3.7 out of 5 stars. 3 reviews
Mamia Lion Reusable Nappy,Specialbuys,Baby & Toddler,Shop by Category,719314615420802,https://www.aldi.co.uk/mamia-lion-reusable-nappy/p/719314615420802,£4.99 each,4.0 out of 5 stars. 1 review
Bugs Bunny Baby Bodysuits,Specialbuys,Baby & Toddler,Shop by Category,812754590529000,https://www.aldi.co.uk/bugs-bunny-baby-bodysuits/p/812754590529000,£7.99 per pack,
Farmer Friends Blue Training Pants,Specialbuys,Baby & Toddler,Shop by Category,720686611907104,https://www.aldi.co.uk/farmer-friends-blue-training-pants/p/720686611907104,£6.99 £4.45 per 100g,4.2 out of 5 stars. 5 reviews
Lily & Dan Pink Swan Gift Set,Specialbuys,Baby & Toddler,Shop by Category,806231489324600,https://www.aldi.co.uk/lily-%26-dan-pink-swan-gift-set/p/806231489324600,£6.99 per pack,4.5 out of 5 stars. 13 reviews
