Name,Category,Subcategory,Price,Cup Price,Product_URL,Product_ID
Woolworths Mushrooms Cups Sliced 375g Punnet,Fruit & Veg,Lunch Box ,5.50, $14.67 / 1KG ,http://www.woolworths.com.au/shop/productdetails/201685/woolworths-mushrooms-cups-sliced,201685
Woolworths Mushrooms Button 200g Punnet,Fruit & Veg,Lunch Box ,4.00, $20.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/152608/woolworths-mushrooms-button,152608
Woolworths Fresh Food Kids Mini Pears 5 Pack,Fruit & Veg,Lunch Box ,2.50, $0.50 / 1EA ,http://www.woolworths.com.au/shop/productdetails/588302/woolworths-fresh-food-kids-mini-pears,588302
Woolworths Lettuce Iceberg Shredded Lettuce 200g,Fruit & Veg,Lunch Box ,2.00, $10.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/638009/woolworths-lettuce-iceberg-shredded-lettuce,638009
White Seedless Grapes Each,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/138801/white-seedless-grapes,138801
Woolworths Lettuce Iceberg Blend Lettuce Blend 300g,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/447755/woolworths-lettuce-iceberg-blend-lettuce-blend,447755
The Odd Bunch Avocado Prepacked 1kg,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/775369/the-odd-bunch-avocado-prepacked,775369
Woolworths Baby Spinach & Rocket 60g,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/379518/woolworths-baby-spinach-rocket-with-rocket,379518
Woolworths Baby Leaf Beetroot Salad With Beetroot Bag 180g,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/317566/woolworths-baby-leaf-beetroot-salad-with-beetroot-bag,317566
Woolworths Baby Spinach Spinach 280g,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/524336/woolworths-baby-spinach-spinach,524336
Kiwi Fruit Green 8 Pack,Fruit & Veg,Lunch Box ,5.90, $0.74 / 1EA ,http://www.woolworths.com.au/shop/productdetails/786152/kiwi-fruit-green,786152
Woolworths Leafy Mix Salad 120g,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/827628/woolworths-leafy-mix-salad,827628
Avocado Shepard Each,Fruit & Veg,Lunch Box ,0.0,,http://www.woolworths.com.au/shop/productdetails/186910/avocado-shepard,186910
Envy Apple 1kg Punnet,Fruit & Veg,Lunch Box ,6.00, $6.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/646356/envy-apple,646356
Fresh Beurre Bosc Pear 750g Punnet,Fruit & Veg,Lunch Box ,2.90, $3.87 / 1KG ,http://www.woolworths.com.au/shop/productdetails/784073/fresh-beurre-bosc-pear,784073
Name,Category,Subcategory,Price,Cup Price,Product_URL,Product_ID
Cavendish Bananas Each,Fruit & Veg,Lunch Box ,0.45, $0.45 / 1EA ,http://www.woolworths.com.au/shop/productdetails/133211/cavendish-bananas,133211
Mandarin Imperial Each,Fruit & Veg,Lunch Box ,0.35, $0.35 / 1EA ,http://www.woolworths.com.au/shop/productdetails/141410/mandarin-imperial,141410
Fresh Pink Lady Apples Each,Fruit & Veg,Lunch Box ,0.79, $0.79 / 1EA ,http://www.woolworths.com.au/shop/productdetails/105919/fresh-pink-lady-apples,105919
Hass Avocado Each,Fruit & Veg,Lunch Box ,1.60, $1.60 / 1EA ,http://www.woolworths.com.au/shop/productdetails/120080/hass-avocado,120080
Woolworths Carrots 1kg,Fruit & Veg,Lunch Box ,2.00, $2.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/135369/woolworths-carrots,135369
