Name,Category,Subcategory,Product ID,Product URL,Price,Cup Price
Tesco Blackberries 150G,Fresh Food,Fresh Fruit,287377189,https://www.tesco.com/groceries/en-GB/products/287377189,£ 2.00,£13.34/kg
Tesco Supersweet Plums Perfectly Ripe 325G,Fresh Food,Fresh Fruit,280621082,https://www.tesco.com/groceries/en-GB/products/280621082,£ 2.15,£6.62/kg
Limes Minimum 5 Pack,Fresh Food,Fresh Fruit,265891385,https://www.tesco.com/groceries/en-GB/products/265891385,£ 0.89,£0.18/each
Tesco Apple Snack Pack 80G,Fresh Food,Fresh Fruit,286681924,https://www.tesco.com/groceries/en-GB/products/286681924,£ 0.50,£6.25/kg
Suntrail Farms Orange Minimum 5 Pack,Fresh Food,Fresh Fruit,292225110,https://www.tesco.com/groceries/en-GB/products/292225110,£ 0.69,£0.14/each
Rosedene Farms Blackberries 150G,Fresh Food,Fresh Fruit,292249370,https://www.tesco.com/groceries/en-GB/products/292249370,£ 1.39,£9.27/kg
Suntrail Farms Soft Citrus Pack 600G,Fresh Food,Fresh Fruit,292216000,https://www.tesco.com/groceries/en-GB/products/292216000,£ 0.69,£1.15/kg
Suntrail Farms Ripen At Home Plum 400G,Fresh Food,Fresh Fruit,292275580,https://www.tesco.com/groceries/en-GB/products/292275580,£ 0.59,£1.48/kg
Wholefood Pine Nuts 100G,Fresh Food,Fresh Fruit,254142569,https://www.tesco.com/groceries/en-GB/products/254142569,£ 3.60,£36.00/kg
Tesco Almonds 200G,Fresh Food,Fresh Fruit,266357101,https://www.tesco.com/groceries/en-GB/products/266357101,£ 2.50,£12.50/kg
Tesco Cashew Nuts 200G,Fresh Food,Fresh Fruit,266376222,https://www.tesco.com/groceries/en-GB/products/266376222,£ 2.50,£12.50/kg
Eat Me Dates Deglet Nourishing Pitted 200G,Fresh Food,Fresh Fruit,284196413,https://www.tesco.com/groceries/en-GB/products/284196413,£ 2.00,£10.00/kg
Tesco Brazil Nuts 200G,Fresh Food,Fresh Fruit,302685533,https://www.tesco.com/groceries/en-GB/products/302685533,£ 2.50,£12.50/kg
Tesco Organic Medjool Dates 200G,Fresh Food,Fresh Fruit,250281502,https://www.tesco.com/groceries/en-GB/products/250281502,£ 2.50,£12.50/kg
Tesco Watermelon Wedges 550G,Fresh Food,Fresh Fruit,287594559,https://www.tesco.com/groceries/en-GB/products/287594559,£ 2.50,£4.55/kg
Tesco Berry Medley 240G,Fresh Food,Fresh Fruit,302972406,https://www.tesco.com/groceries/en-GB/products/302972406,£ 2.25,£9.38/kg
Tesco Soft Pitted Dates 250G,Fresh Food,Fresh Fruit,274171043,https://www.tesco.com/groceries/en-GB/products/274171043,£ 1.75,£7.00/kg
Gala Apples Class 1 Loose,Fresh Food,Fresh Fruit,253559147,https://www.tesco.com/groceries/en-GB/products/253559147,£ 0.43,£2.70/kg
Tesco Sunflower Seeds 150G,Fresh Food,Fresh Fruit,266386982,https://www.tesco.com/groceries/en-GB/products/266386982,£ 1.00,£6.67/kg
Tesco Coriander 100G,Fresh Food,Fresh Vegetables,252474219,https://www.tesco.com/groceries/en-GB/products/252474219,£ 1.25,£0.12/10g
Tesco Finest British Red Potatoes 2Kg,Fresh Food,Fresh Vegetables,304792155,https://www.tesco.com/groceries/en-GB/products/304792155,£ 1.85,£0.92/kg
Pak Choi 250G,Fresh Food,Fresh Vegetables,252895723,https://www.tesco.com/groceries/en-GB/products/252895723,£ 1.30,£5.20/kg
Tesco Family Pack Chestnut Mushroom 485G,Fresh Food,Fresh Vegetables,296652420,https://www.tesco.com/groceries/en-GB/products/296652420,£ 1.85,£3.82/kg
Finest Echalion Shallots 400G,Fresh Food,Fresh Vegetables,259098826,https://www.tesco.com/groceries/en-GB/products/259098826,£ 1.20,£3.00/kg
Leeks Loose Class 2,Fresh Food,Fresh Vegetables,253555998,https://www.tesco.com/groceries/en-GB/products/253555998,£ 0.50,£2.00/kg
Cauliflower Extra Large Each,Fresh Food,Fresh Vegetables,254973708,https://www.tesco.com/groceries/en-GB/products/254973708,£ 1.90,£1.90/each
Tesco Tenderstem & Mixed Vegetables 160G,Fresh Food,Fresh Vegetables,297682889,https://www.tesco.com/groceries/en-GB/products/297682889,,
Tesco Vegetable & Beansprout Stir Fry 320G,Fresh Food,Fresh Vegetables,308856800,https://www.tesco.com/groceries/en-GB/products/308856800,£ 1.10,£3.44/kg
Tesco Beansprouts 300G,Fresh Food,Fresh Vegetables,290981552,https://www.tesco.com/groceries/en-GB/products/290981552,£ 0.71,£2.37/kg
Tesco Mediterranean Style Roasting Vegetable 400G,Fresh Food,Fresh Vegetables,302319790,https://www.tesco.com/groceries/en-GB/products/302319790,£ 1.75,£4.38/kg
Tesco Crispy Slices 350G,Fresh Food,Fresh Vegetables,277884433,https://www.tesco.com/groceries/en-GB/products/277884433,£ 1.50,£4.29/kg
Tesco Vegetable Stir Fry 320G,Fresh Food,Fresh Vegetables,301226624,https://www.tesco.com/groceries/en-GB/products/301226624,£ 1.10,£3.44/kg
Tesco Diced Onion 400G,Fresh Food,Fresh Vegetables,294007399,https://www.tesco.com/groceries/en-GB/products/294007399,£ 1.00,£2.50/kg
Tesco Chestnut Baby Button Mushrooms 150G,Fresh Food,Fresh Vegetables,293821231,https://www.tesco.com/groceries/en-GB/products/293821231,£ 1.00,£6.67/kg
Tesco Cauliflower & Broccoli Florets 400G (M),Fresh Food,Fresh Vegetables,276775218,https://www.tesco.com/groceries/en-GB/products/276775218,£ 1.09,£2.73/kg
Tesco Peeled Baby Sprouts 180G,Fresh Food,Fresh Vegetables,277973967,https://www.tesco.com/groceries/en-GB/products/277973967,£ 1.10,£6.12/kg
Tesco Chantenay Carrots 500G,Fresh Food,Fresh Vegetables,279525234,https://www.tesco.com/groceries/en-GB/products/279525234,£ 1.00,£2.00/kg
Tesco Tenderstem Broccoli Tips 120G,Fresh Food,Fresh Vegetables,280108932,https://www.tesco.com/groceries/en-GB/products/280108932,,
Tesco Baby Spinach 220G,Fresh Food,Fresh Vegetables,304401971,https://www.tesco.com/groceries/en-GB/products/304401971,,
Tesco Mixed Chillies 65G,Fresh Food,Fresh Vegetables,262453391,https://www.tesco.com/groceries/en-GB/products/262453391,£ 0.64,£9.85/kg
Tesco Baby Potatoes With Herb Butter 360G,Fresh Food,Fresh Vegetables,272336935,https://www.tesco.com/groceries/en-GB/products/272336935,£ 1.00,£2.78/kg
Tesco Ginger 125G,Fresh Food,Fresh Vegetables,263388823,https://www.tesco.com/groceries/en-GB/products/263388823,£ 0.99,£7.92/kg
Redmere Farms Red Onion 1Kg,Fresh Food,Fresh Vegetables,292276416,https://www.tesco.com/groceries/en-GB/products/292276416,£ 0.70,£0.70/kg
Wholefood Roasted Monkey Nuts 250G,Fresh Food,Fresh Fruit,256056991,https://www.tesco.com/groceries/en-GB/products/256056991,£ 1.25,£5.00/kg
Tesco Pomegranate 250G,Fresh Food,Fresh Fruit,295747045,https://www.tesco.com/groceries/en-GB/products/295747045,£ 2.50,£10.00/kg
Tesco Cox Apple Minimum 5 Pack,Fresh Food,Fresh Fruit,284475953,https://www.tesco.com/groceries/en-GB/products/284475953,£ 1.70,£0.34/each
Tesco Soft Apricots 250G,Fresh Food,Fresh Fruit,258057537,https://www.tesco.com/groceries/en-GB/products/258057537,£ 1.75,£7.00/kg
Granny Smith Apples Class 1 Loose,Fresh Food,Fresh Fruit,253557316,https://www.tesco.com/groceries/en-GB/products/253557316,£ 0.43,£2.70/kg
Tesco Large Fruit Platter 350G,Fresh Food,Fresh Fruit,302972061,https://www.tesco.com/groceries/en-GB/products/302972061,£ 2.50,£7.15/kg
Tesco Pomegrante Seeds 80G,Fresh Food,Fresh Fruit,260383764,https://www.tesco.com/groceries/en-GB/products/260383764,£ 1.15,£14.38/kg
Melon & Pineapple Finger 300G,Fresh Food,Fresh Fruit,274983482,https://www.tesco.com/groceries/en-GB/products/274983482,£ 2.25,£7.50/kg
Tesco Finest Green Grapes Seedless 400G,Fresh Food,Fresh Fruit,308859578,https://www.tesco.com/groceries/en-GB/products/308859578,£ 2.00,£5.00/kg
Tesco Organic Seasonal Apples,Fresh Food,Fresh Fruit,306935710,https://www.tesco.com/groceries/en-GB/products/306935710,£ 2.25,£0.56/each
Tesco Pineapple Chunks 145G,Fresh Food,Fresh Fruit,302971678,https://www.tesco.com/groceries/en-GB/products/302971678,£ 1.15,£7.94/kg
Tesco Pumpkin Seeds 150G,Fresh Food,Fresh Fruit,266387140,https://www.tesco.com/groceries/en-GB/products/266387140,£ 1.00,£6.67/kg
Tesco Mixed Nuts & Pecans 25G,Fresh Food,Fresh Fruit,299497679,https://www.tesco.com/groceries/en-GB/products/299497679,£ 0.55,£22.00/kg
Tesco Organic Raspberries 150G,Fresh Food,Fresh Fruit,309450846,https://www.tesco.com/groceries/en-GB/products/309450846,£ 2.50,£16.67/kg
Tesco Mango Chunks 120G,Fresh Food,Fresh Fruit,299045691,https://www.tesco.com/groceries/en-GB/products/299045691,,
Tesco Ripe And Ready 2 Pack Mango,Fresh Food,Fresh Fruit,260276321,https://www.tesco.com/groceries/en-GB/products/260276321,£ 1.70,£0.85/each
Tesco Cashew Nuts Snack Pack 60G,Fresh Food,Fresh Fruit,283111735,https://www.tesco.com/groceries/en-GB/products/283111735,£ 1.00,£1.67/100g
Tesco Figs Minimum 3 Pack,Fresh Food,Fresh Fruit,272897950,https://www.tesco.com/groceries/en-GB/products/272897950,£ 2.00,£0.67/each
Tesco Blueberries 500G,Fresh Food,Fresh Fruit,301514109,https://www.tesco.com/groceries/en-GB/products/301514109,£ 4.50,£9.00/kg
Tesco Snack Pack Mango 35G,Fresh Food,Fresh Fruit,302685683,https://www.tesco.com/groceries/en-GB/products/302685683,£ 1.00,£28.58/kg
Pomegranates Each,Fresh Food,Fresh Fruit,253554982,https://www.tesco.com/groceries/en-GB/products/253554982,£ 1.25,£1.25/each
Tesco Rhubarb 400G Pack Class 1,Fresh Food,Fresh Fruit,252946036,https://www.tesco.com/groceries/en-GB/products/252946036,£ 1.50,£3.75/kg
Tesco Fruit And Nut 200G,Fresh Food,Fresh Fruit,266387520,https://www.tesco.com/groceries/en-GB/products/266387520,£ 2.50,£12.50/kg
Tesco Pineapple Chunks 270G,Fresh Food,Fresh Fruit,302971655,https://www.tesco.com/groceries/en-GB/products/302971655,£ 2.25,£8.34/kg
Tesco Mangetout 160G,Fresh Food,Fresh Vegetables,307349901,https://www.tesco.com/groceries/en-GB/products/307349901,,
Tesco Mint 30G,Fresh Food,Fresh Vegetables,259095864,https://www.tesco.com/groceries/en-GB/products/259095864,£ 0.47,£0.16/10g
Redmere Farms Baby Potato 1Kg,Fresh Food,Fresh Vegetables,292285244,https://www.tesco.com/groceries/en-GB/products/292285244,£ 0.95,£0.95/kg
King Edward Potatoes 2.5Kg,Fresh Food,Fresh Vegetables,258423726,https://www.tesco.com/groceries/en-GB/products/258423726,£ 1.50,£0.60/kg
Perfectly Imperfect Parsnips 500G,Fresh Food,Fresh Vegetables,292310843,https://www.tesco.com/groceries/en-GB/products/292310843,£ 0.39,£0.78/kg
Redmere Farms Fresh Greens,Fresh Food,Fresh Vegetables,292277450,https://www.tesco.com/groceries/en-GB/products/292277450,£ 0.65,£1.30/kg
Tesco Red Cabbage Each,Fresh Food,Fresh Vegetables,294070184,https://www.tesco.com/groceries/en-GB/products/294070184,£ 0.59,£0.59/each
Perfectly Imperfect Potatoes 2.5Kg,Fresh Food,Fresh Vegetables,292332517,https://www.tesco.com/groceries/en-GB/products/292332517,£ 0.89,£0.36/kg
Tesco Perfectly Imperfect Carrots 1.5Kg,Fresh Food,Fresh Vegetables,305964008,https://www.tesco.com/groceries/en-GB/products/305964008,£ 0.45,£0.30/kg
Tesco Fine Beans & Tenderstem Broccoli 210G,Fresh Food,Fresh Vegetables,282151147,https://www.tesco.com/groceries/en-GB/products/282151147,£ 1.75,£8.34/kg
Redmere Farms Brussels Sprouts 300G,Fresh Food,Fresh Vegetables,297116750,https://www.tesco.com/groceries/en-GB/products/297116750,£ 0.47,£1.57/kg
Tesco Jersey Royal Potatoes 1Kg,Fresh Food,Fresh Vegetables,250718828,https://www.tesco.com/groceries/en-GB/products/250718828,£ 2.50,£2.50/kg
Tesco Mixed Vegetables 225G,Fresh Food,Fresh Vegetables,293905363,https://www.tesco.com/groceries/en-GB/products/293905363,£ 1.50,£6.67/kg
Tesco Flat Leaf Parsley 100G,Fresh Food,Fresh Vegetables,257482311,https://www.tesco.com/groceries/en-GB/products/257482311,£ 1.25,£0.12/10g
Tesco Seasonal New Potatoes 750G,Fresh Food,Fresh Vegetables,282525642,https://www.tesco.com/groceries/en-GB/products/282525642,£ 1.25,£1.67/kg
Tesco Finest Chunky Chips 449G,Fresh Food,Fresh Vegetables,305830841,https://www.tesco.com/groceries/en-GB/products/305830841,£ 2.60,£5.80/kg
Tesco Medium Pot Basil,Fresh Food,Fresh Vegetables,256180514,https://www.tesco.com/groceries/en-GB/products/256180514,£ 1.25,£1.25/each
Tesco Portobello Flat Mushrooms 150G,Fresh Food,Fresh Vegetables,290392530,https://www.tesco.com/groceries/en-GB/products/290392530,£ 1.00,£6.67/kg
Tesco Sweet Chilli Stir Fry Sauce 180G,Fresh Food,Fresh Vegetables,290819683,https://www.tesco.com/groceries/en-GB/products/290819683,£ 1.00,£5.56/kg
Tesco Mushroom Stir Fry Mix 320G,Fresh Food,Fresh Vegetables,308481684,https://www.tesco.com/groceries/en-GB/products/308481684,£ 1.25,£3.91/kg
Tesco Crispy Sweet Potato Fries 300G,Fresh Food,Fresh Vegetables,299927310,https://www.tesco.com/groceries/en-GB/products/299927310,£ 2.00,£6.67/kg
Tesco Spinach 500G,Fresh Food,Fresh Vegetables,275549004,https://www.tesco.com/groceries/en-GB/products/275549004,£ 1.77,£3.54/kg
Tesco Chinese Stir Fry Sauce 180G,Fresh Food,Fresh Vegetables,290819648,https://www.tesco.com/groceries/en-GB/products/290819648,£ 1.00,£5.56/kg
Tesco Chinese Inspired Stir Fry Mix 320G,Fresh Food,Fresh Vegetables,301226549,https://www.tesco.com/groceries/en-GB/products/301226549,£ 1.60,£0.50/100g
Tesco Hazelnuts 200G,Fresh Food,Fresh Fruit,266374921,https://www.tesco.com/groceries/en-GB/products/266374921,£ 2.50,£12.50/kg
Tesco Pistachio Nuts 200G,Fresh Food,Fresh Fruit,266375344,https://www.tesco.com/groceries/en-GB/products/266375344,£ 2.50,£12.50/kg
Tesco Pineapple 500G,Fresh Food,Fresh Fruit,287872392,https://www.tesco.com/groceries/en-GB/products/287872392,£ 2.60,£5.20/kg
"Tesco Apple Mango, Strawberry & Raspberry 220G",Fresh Food,Fresh Fruit,308483244,https://www.tesco.com/groceries/en-GB/products/308483244,£ 2.25,£10.23/kg
Tesco Kiwi Strawberry & Melon 260G,Fresh Food,Fresh Fruit,302972683,https://www.tesco.com/groceries/en-GB/products/302972683,£ 2.25,£8.66/kg
Tesco Finest Apples Minimum 4 Pack,Fresh Food,Fresh Fruit,307761343,https://www.tesco.com/groceries/en-GB/products/307761343,£ 2.00,£0.50/each
Tesco Tropical Tray 250G,Fresh Food,Fresh Fruit,302972366,https://www.tesco.com/groceries/en-GB/products/302972366,£ 2.25,£9.00/kg
Tesco Finest Roasted Nut Selection 190G,Fresh Food,Fresh Fruit,302677029,https://www.tesco.com/groceries/en-GB/products/302677029,£ 3.00,£15.79/kg
Wholefood Dried Mango 100G,Fresh Food,Fresh Fruit,260733201,https://www.tesco.com/groceries/en-GB/products/260733201,£ 1.75,£17.50/kg
Tesco Melon Slices 450G,Fresh Food,Fresh Fruit,277053207,https://www.tesco.com/groceries/en-GB/products/277053207,£ 2.25,£5.00/kg
Tesco Flax Seeds 150G,Fresh Food,Fresh Fruit,290594532,https://www.tesco.com/groceries/en-GB/products/290594532,£ 1.00,£6.67/kg
Jordan River Dates 800G,Fresh Food,Fresh Fruit,297186889,https://www.tesco.com/groceries/en-GB/products/297186889,£ 3.20,£4.00/kg
Tesco Milled Flax Seed Mix 175G,Fresh Food,Fresh Fruit,302677255,https://www.tesco.com/groceries/en-GB/products/302677255,£ 1.75,£10.00/kg
Tesco Soft Figs 250G,Fresh Food,Fresh Fruit,258058058,https://www.tesco.com/groceries/en-GB/products/258058058,£ 1.75,£7.00/kg
Tesco Grape & Strawberry 125G,Fresh Food,Fresh Fruit,302972487,https://www.tesco.com/groceries/en-GB/products/302972487,£ 1.15,£9.20/kg
Tesco Wholefoods Prunes 250G,Fresh Food,Fresh Fruit,258056187,https://www.tesco.com/groceries/en-GB/products/258056187,£ 1.75,£7.00/kg
Tesco Fruit & Nut Snack Pot 55G,Fresh Food,Fresh Fruit,302677353,https://www.tesco.com/groceries/en-GB/products/302677353,£ 1.00,£1.82/100g
Tesco Mixed Berries 25G,Fresh Food,Fresh Fruit,299497719,https://www.tesco.com/groceries/en-GB/products/299497719,£ 0.55,£22.00/kg
Tesco Milled Flax Pumpkin & Chia Seed Mix 175G,Fresh Food,Fresh Fruit,302677278,https://www.tesco.com/groceries/en-GB/products/302677278,£ 1.75,£10.00/kg
Tesco Rainforest Alliance Coconut Each,Fresh Food,Fresh Fruit,253554452,https://www.tesco.com/groceries/en-GB/products/253554452,£ 1.00,£1.00/each
Tesco Supersweet Peach Perfectly Ripe Minimum 3 Pack,Fresh Food,Fresh Fruit,253557869,https://www.tesco.com/groceries/en-GB/products/253557869,£ 2.15,£0.72/each
Tesco Cherries Punnet 200G,Fresh Food,Fresh Fruit,266291241,https://www.tesco.com/groceries/en-GB/products/266291241,£ 3.00,£15.00/kg
Tesco Fruit & Nut Shot 25G,Fresh Food,Fresh Fruit,302677128,https://www.tesco.com/groceries/en-GB/products/302677128,£ 0.55,£22.00/kg
Tesco Melon & Grape 150G,Fresh Food,Fresh Fruit,302972245,https://www.tesco.com/groceries/en-GB/products/302972245,£ 1.15,£7.67/kg
Tesco Plum & Hoisin Stir Fry Sauce 180G,Fresh Food,Fresh Vegetables,290819660,https://www.tesco.com/groceries/en-GB/products/290819660,£ 1.00,£5.56/kg
Tesco Teriyaki Stir Fry Sauce 180G,Fresh Food,Fresh Vegetables,301339197,https://www.tesco.com/groceries/en-GB/products/301339197,£ 1.00,£5.56/kg
Tesco Sliced Spring Greens 240G,Fresh Food,Fresh Vegetables,277971537,https://www.tesco.com/groceries/en-GB/products/277971537,£ 1.30,£5.42/kg
Tesco Fennel 250G,Fresh Food,Fresh Vegetables,305037277,https://www.tesco.com/groceries/en-GB/products/305037277,£ 1.20,£4.80/kg
Tesco Finest All Rounder Potatoes 2Kg,Fresh Food,Fresh Vegetables,304794055,https://www.tesco.com/groceries/en-GB/products/304794055,,
Tesco Pepper Stir Fry Mix 320G,Fresh Food,Fresh Vegetables,308479457,https://www.tesco.com/groceries/en-GB/products/308479457,£ 1.25,£3.91/kg
Tesco Cheese And Garlic Stuffed Mushrooms 200G,Fresh Food,Fresh Vegetables,303261342,https://www.tesco.com/groceries/en-GB/products/303261342,£ 2.00,£10.00/kg
Tesco Runner Beans 180G,Fresh Food,Fresh Vegetables,293953495,https://www.tesco.com/groceries/en-GB/products/293953495,£ 1.20,£6.67/kg
Tesco Root Vegetable Mash 425G,Fresh Food,Fresh Vegetables,280218827,https://www.tesco.com/groceries/en-GB/products/280218827,£ 0.93,£2.19/kg
Tesco Sliced Mushrooms 250G,Fresh Food,Fresh Vegetables,287571051,https://www.tesco.com/groceries/en-GB/products/287571051,£ 1.00,£4.00/kg
Edamame Beans 150G,Fresh Food,Fresh Vegetables,279684822,https://www.tesco.com/groceries/en-GB/products/279684822,£ 1.30,£8.67/kg
Tesco Red Potatoes 1.25Kg,Fresh Food,Fresh Vegetables,305986282,https://www.tesco.com/groceries/en-GB/products/305986282,£ 1.00,£0.80/kg
Tesco Mini Carrots 320G,Fresh Food,Fresh Vegetables,277941239,https://www.tesco.com/groceries/en-GB/products/277941239,£ 1.00,£3.13/kg
